name,total_return,annual_return,volatility,max_drawdown,observations,var95,es95,tested_days,exceptions,exception_rate,reference_rate
Temkinli,1.2925784462715044,0.1854482154181285,0.06135925410037458,-0.0573545140392574,1229,0.0054756917817732065,0.0067794033498322455,977,54,0.05527123848515865,0.05
Dengeli,0.8794278474367485,0.1381186051519656,0.12711524485462675,-0.17983110348339493,1229,0.012190193182593179,0.014899527793885243,977,46,0.04708290685772774,0.05
Büyüme,0.5799117727726486,0.0983193131250728,0.18900702703756528,-0.34814959918421384,1229,0.018391742622835938,0.02326436982868095,977,47,0.048106448311156604,0.05
